6,3,7142,5,1606310000000
6,3,3265,3,1606310000000
5,3,5124,4,1606310000000
126,17,393227,21,1606310000000
50,25,22712,9,1606310000000
52,23,78677,17,1606310000000
50,17,54054,13,1606310000000
4,35,354,1,1606310000000
9,0,12773,9,1606310000000
7,1,4664,6,1606310000000
7,2,4332,4,1606310000000
8,1,3340,5,1610000000000
6,4,1110,3,1606320000000
6,3,1821,3,1606910000000
3,0,1206,3,1606910000000
3,0,1386,3,1606920000000
7,2,7118,4,1606930000000
106,20,213376,24,1606930000000
7,2,3804,3,1607010000000
6,3,3595,3,1607450000000
14,6,13740,6,1607450000000
4,5,3088,3,1607450000000
8,1,7635,5,1607450000000
